SMILES,Class,canonical_smiles
C[C@@H](C(=O)NC1=CC=CC(=N1)C2=CN=C(C=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC5=CC=CC=N5,1,C[C@@H](C(=O)Nc1cccc(-c2ccc(C(F)(F)F)nc2)n1)N1C=NC2C1C(=O)N(Cc1ccccn1)C(=O)N2C
C[C@@H](C(=O)NC1=CC=CC(=N1)C2=CN=C(C=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC(=O)C,1,CC(=O)CN1C(=O)C2C(N=CN2[C@@H](C)C(=O)Nc2cccc(-c3ccc(C(F)(F)F)nc3)n2)N(C)C1=O
C[C@@H](C(=O)NC1=NC(=CN=C1)C2=CN=C(C=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC(=O)C,1,CC(=O)CN1C(=O)C2C(N=CN2[C@@H](C)C(=O)Nc2cncc(-c3ccc(C(F)(F)F)nc3)n2)N(C)C1=O
C[C@@H](C(=O)NC1=CC=CC(=N1)C2=CN=C(N=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC(=O)C,1,CC(=O)CN1C(=O)C2C(N=CN2[C@@H](C)C(=O)Nc2cccc(-c3cnc(C(F)(F)F)nc3)n2)N(C)C1=O
C[C@@H](C(=O)NC1=CC=CC(=N1)C2=CN=C(N=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC5=CC=CC=N5,1,C[C@@H](C(=O)Nc1cccc(-c2cnc(C(F)(F)F)nc2)n1)N1C=NC2C1C(=O)N(Cc1ccccn1)C(=O)N2C
C[C@@H](C(=O)NC1=NC(=CN=C1)C2=CN=C(N=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC(=O)C,1,CC(=O)CN1C(=O)C2C(N=CN2[C@@H](C)C(=O)Nc2cncc(-c3cnc(C(F)(F)F)nc3)n2)N(C)C1=O
CC1=CC(=NO1)CN2C(=O)C3C(=NC=[N+]3[C@@H](C)C(=O)N)N(C2=O)C,1,Cc1cc(CN2C(=O)C3C(=NC=[N+]3[C@@H](C)C(N)=O)N(C)C2=O)no1
C[C@@H](C(=O)NC1=NC(=CN=C1)C2=CN=C(N=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC5=CC=CC=N5,1,C[C@@H](C(=O)Nc1cncc(-c2cnc(C(F)(F)F)nc2)n1)N1C=NC2C1C(=O)N(Cc1ccccn1)C(=O)N2C
C[C@@H](C(=O)NC1=NC(=CN=C1)C2=CN=C(C=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC5=CC=CC=N5,1,C[C@@H](C(=O)Nc1cncc(-c2ccc(C(F)(F)F)nc2)n1)N1C=NC2C1C(=O)N(Cc1ccccn1)C(=O)N2C
CC(C(=O)NC1=CC=CC(=N1)C2=CN=C(N=C2)C(F)(F)F)N3C=NC4C3C(=O)N(C(=O)N4C)CC#N,1,CC(C(=O)Nc1cccc(-c2cnc(C(F)(F)F)nc2)n1)N1C=NC2C1C(=O)N(CC#N)C(=O)N2C
