SMILES,Class,canonical_smiles
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c21
CC1CNN2C1C(=O)N(C(N2)N)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)F,1,CC1CNN2NC(N)N(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)C(=O)C12
CC1CNN2C1C(=O)N(C(N2)N)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl,1,CC1CNN2NC(N)N(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)C(=O)C12
CN1C=NC2C1C(=O)N(C(=O)N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl,1,CN1C=NC2NC(=O)N(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)C(=O)C21
CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,1,Cc1nc2ncn(C)c2c(=O)n1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1
CN1C2=C(NC1=O)N=CN(C2=O)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl,1,Cn1c(=O)[nH]c2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC(=CC=C5)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5cccc(F)c5)C4)no3)c(=O)c21
C1[C@@H](CO[C@H]1C2=CC=C(C=C2)F)C3=NOC(=N3)CN4C(=O)C5=C(C=N4)N=CC=C5,1,O=c1c2cccnc2cnn1Cc1nc([C@@H]2CO[C@@H](c3ccc(F)cc3)C2)no1
CN1C2=C(N=CN(C2=O)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)F)N=N1,1,Cn1nnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=CC=C5,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccccc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=CC=C5Cl,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccccc5Cl)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=CC=C5F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccccc5F)C4)no3)c(=O)c21
CN1C2=C(N=CN(C2=O)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N=N1,1,Cn1nnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC(=CC=C5)Cl,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5cccc(Cl)c5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC(=C(C=C5)F)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)c(F)c5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)OC(F)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(OC(F)F)cc5)C4)no3)c(=O)c21
CC1=C2C(=NC=C1)N=CN(C2=O)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)F,1,Cc1ccnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c12
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)OC(F)(F)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(OC(F)(F)F)cc5)C4)no3)c(=O)c21
CN1C2=C(N=CN(C2=O)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)F)N=C1N,1,Cn1c(N)nc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)cc5)C4)no3)c(=O)c21
CN1C=NC2=C(C1=O)N(N=C2C#N)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl,1,Cn1cnc2c(C#N)nn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c2c1=O
C1[C@@H](CO[C@H]1C2=CC=C(C=C2)Cl)C3=NOC(=N3)CN4C(=O)C5=C(C=N4)N=CC=C5,1,O=c1c2cccnc2cnn1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1
C1[C@@H](CO[C@H]1C2=CC=C(C=C2)Cl)C3=NOC(=N3)CN4C=NC5=C(C4=O)C=CC=N5,1,O=c1c2cccnc2ncn1Cc1nc([C@@H]2CO[C@@H](c3ccc(Cl)cc3)C2)no1
CN1C2=C(N=CN(C2=O)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N=C1N,1,Cn1c(N)nc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21
CC1=CC=C(C=C1)[C@H]2C[C@@H](CO2)C3=NOC(=N3)CN4C=NC5=C(C4=O)N(C=N5)C,1,Cc1ccc([C@H]2C[C@H](c3noc(Cn4cnc5ncn(C)c5c4=O)n3)CO2)cc1
C1[C@@H](CO[C@H]1C2=CC=C(C=C2)Cl)C3=NOC(=N3)CN4C=NC5=C(C4=O)C=CC(=N5)N,1,Nc1ccc2c(=O)n(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)cnc2n1
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Br,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Br)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)C6=CC=CC=C6,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(-c6ccccc6)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC(=C(C=C5)Cl)Cl,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)c(Cl)c5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC(=C(C=C5)Cl)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)c(F)c5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC6=CC=CC=C6C=C5,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc6ccccc6c5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC(=CC(=C5)F)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5cc(F)cc(F)c5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC(=C(C=C5)F)Cl,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(F)c(Cl)c5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)C#N,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(C#N)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)C(F)(F)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(C(F)(F)F)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=C2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl,1,Cn1cnc2ccn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC(=C(C(=C5)F)F)F,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5cc(F)c(F)c(F)c5)C4)no3)c(=O)c21
CN1C=NC2=C1C(=O)N(C=N2)CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=NC=C(C=C5)Cl,1,Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cn5)C4)no3)c(=O)c21
