SMILES,Class,canonical_smiles
C1C[C@@H]([C@@H]1C(=O)NCC2=CN(N=C2C(F)F)C3=CC=C(C=C3)C(F)(F)F)S(=O)(=O)C4=CC=C(C=C4)F,1,O=C(NCc1cn(-c2ccc(C(F)(F)F)cc2)nc1C(F)F)[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1
C1C[C@@H]([C@@H]1NC(=O)CC2=CN(N=C2C(F)(F)F)C3=CN=C(N=C3)C(F)(F)F)S(=O)C4=CC=C(C=C4)F,1,O=C(Cc1cn(-c2cnc(C(F)(F)F)nc2)nc1C(F)(F)F)N[C@@H]1CC[C@@H]1S(=O)c1ccc(F)cc1
C1C[C@@H]([C@@H]1NC(=O)CC2=CN(N=C2C(F)(F)F)C3=CN=C(N=C3)C(F)(F)F)S(=O)(=O)C4=CC=C(C=C4)F,1,O=C(Cc1cn(-c2cnc(C(F)(F)F)nc2)nc1C(F)(F)F)N[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1
C1C[C@H]([C@H](C1)S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CN(N=C3C(F)(F)F)C4=CN=C(C=C4)C(F)(F)F,1,O=C(NCc1cn(-c2ccc(C(F)(F)F)nc2)nc1C(F)(F)F)[C@@H]1CCC[C@@H]1S(=O)(=O)c1ccc(F)cc1
CC1(CCCC1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CN(N=C3Cl)C4=CC=C(C=C4)C(F)(F)F,1,CC1(C(=O)NCc2cn(-c3ccc(C(F)(F)F)cc3)nc2Cl)CCCC1S(=O)(=O)c1ccc(F)cc1
C1C[C@@H]([C@@H]1NC(=O)CC2=CN(N=C2C3CC3)C4=CN=C(N=C4)C(F)(F)F)S(=O)(=O)C5=CC=C(C=C5)F,1,O=C(Cc1cn(-c2cnc(C(F)(F)F)nc2)nc1C1CC1)N[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1
C1C[C@@H]([C@@H]1NC(=O)CC2=CN(N=C2Cl)C3=CN=C(N=C3)C(F)(F)F)S(=O)(=O)C4=CC=C(C=C4)F,1,O=C(Cc1cn(-c2cnc(C(F)(F)F)nc2)nc1Cl)N[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1
COC1=NN(C=C1CC(=O)N[C@@H]2CC[C@@H]2S(=O)(=O)C3=CC=C(C=C3)F)C4=CN=C(N=C4)C(F)(F)F,1,COc1nn(-c2cnc(C(F)(F)F)nc2)cc1CC(=O)N[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1
C1C[C@@H]([C@@H]1NC(=O)CC2=CN(N=C2C(F)F)C3=CN=C(N=C3)C(F)(F)F)S(=O)(=O)C4=CC=C(C=C4)F,1,O=C(Cc1cn(-c2cnc(C(F)(F)F)nc2)nc1C(F)F)N[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1
COC1=NN(C=C1CC(=O)N[C@@H]2CC[C@@H]2S(=O)(=O)C3=CC=C(C=C3)F)C4=CC=C(C=C4)C(F)F,1,COc1nn(-c2ccc(C(F)F)cc2)cc1CC(=O)N[C@@H]1CC[C@@H]1S(=O)(=O)c1ccc(F)cc1
